"Filename",PS-PS_neg_53.mzML,CG-C13_neg_52.mzML,MI-B14_neg_49.mzML,CG-C22_neg_50.mzML,MI-B24_neg_47.mzML,QC_neg_45.mzML,MI-ML_neg_48.mzML,QC_neg_56.mzML,QC_neg_51.mzML,PB_neg_42.mzML,CG-CG_neg_55.mzML,ASP-ASP_neg_54.mzML,QC_neg_46.mzML
5000/324.9919mz/4.71min,29316.28515625,29005.58203125,28933.068359375,32702.169921875,29736.119140625,31319.6640625,28505.666015625,29989.390625,28276.244140625,32525.974609375,28974.00390625,29553.30078125,31494.578125
5001/336.9934mz/4.72min,20094.30859375,19777.177734375,18737.435546875,20850.361328125,21736.0703125,20187.943359375,20228.728515625,19500.0234375,20087.310546875,20864.287109375,19470.951171875,23125.751953125,21184.91015625
5003/355.0006mz/4.72min,12884.6572265625,13037.37890625,12932.107421875,12746.9072265625,13274.19140625,13634.5048828125,12112.6416015625,,14120.58203125,12532.4560546875,13305.9501953125,14068.7255859375,12715.6162109375
5004/266.9923mz/4.72min,10392.4599609375,9304.9296875,10733.087890625,10601.2275390625,11927.205078125,9760.6396484375,9693.2744140625,10633.98828125,9460.447265625,9385.8291015625,11674.0078125,11346.94140625,11513.92578125
5010/342.9875mz/4.72min,25059.26171875,23413.365234375,23180.017578125,22431.029296875,24410.455078125,24509.166015625,25757.568359375,24553.9609375,21870.2421875,22635.73828125,24170.484375,29672.83984375,24219.1015625
5015/821.4323mz/4.73min,,30921.677734375,,52846.6015625,,10602.7138671875,,10715.982421875,11765.451171875,,10619.5400390625,,11309.513671875
5016/423.0055mz/4.72min,21410.203125,21249.9296875,21530.244140625,24486.041015625,21967.111328125,24416.25390625,23109.4296875,21770.58203125,22297.388671875,21997.25390625,22450.822265625,24121.19921875,22130.36328125
5017/311.1858mz/4.73min,30545.384765625,24467.7265625,26560.9453125,25110.21875,23177.76171875,23082.287109375,23737.58203125,25823.958984375,25629.693359375,19153.4375,25012.55859375,22291.11328125,22159.912109375
5019/316.9945mz/4.73min,,,13950.625,14009.255859375,14466.02734375,13855.2578125,12555.9541015625,12533.822265625,13849.6201171875,13559.5869140625,13744.150390625,14855.6357421875,
5021/371.0025mz/4.73min,,11267.9462890625,11714.71875,11565.5556640625,10706.6708984375,,12077.9619140625,12234.2958984375,11397.74609375,11457.6865234375,,12521.96484375,12754.7529296875
