row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PS-PS_neg_53.mzML Peak height,CG-C13_neg_52.mzML Peak height,MI-B14_neg_49.mzML Peak height,CG-C22_neg_50.mzML Peak height,MI-B24_neg_47.mzML Peak height,QC_neg_45.mzML Peak height,MI-ML_neg_48.mzML Peak height,QC_neg_56.mzML Peak height,QC_neg_51.mzML Peak height,PB_neg_42.mzML Peak height,CG-CG_neg_55.mzML Peak height,ASP-ASP_neg_54.mzML Peak height,QC_neg_46.mzML Peak height,
166,176.05644258229893,0.30387777,,,,,,,,,,,0,40249.582,0,37198.77,0,5070.237,0,4498.2427,5391.157,0,14536.289,0,0,
167,334.8076304490338,0.30340415,,,,,,,,,,,0,0,0,0,0,14242.598,0,14342.396,14318.655,0,0,0,15480.965,
168,178.8975728563943,0.30293334,,,,,,,,,,,28897.652,0,0,0,0,27378.926,28939.174,28613.111,26110.477,37686.508,30393.256,29006.695,29089.932,
169,462.76171668015036,0.30478516,,,,,,,,,,,16508.025,0,0,0,0,15725.602,16290.606,14980.264,12656.805,38901.668,23987.459,18336.326,17039.166,
170,520.7200572468796,0.30385923,,,,,,,,,,,18827.115,0,0,0,0,12844.457,15877.15,15334.026,12715.318,39787.113,26273.354,20579.256,16300.696,
171,222.90577465983824,0.30478513,,,,,,,,,,,12992.562,0,0,0,0,17604.934,13144.459,17480.531,16052.334,23540.844,16909.188,13340.436,17661.277,
172,378.78813563253556,0.30385923,,,,,,,,,,,34315.305,0,0,0,0,28291.5,36198.383,31334.482,29393.432,48151.812,45589.984,43354.023,32386.1,
173,296.8496700690856,0.30894443,,,,,,,,,,,0,0,0,0,0,0,0,0,39389.082,55465.44,39626.156,0,0,
174,298.8463951583033,0.31280002,,,,,,,,,,,0,0,0,0,0,0,15255.341,0,0,23557.725,0,17125.598,0,
175,382.81929915354476,0.31201875,,,,,,,,,,,0,0,0,0,0,8641.705,7599.8247,7965.0938,6768.0264,20792.584,10758.385,7502.665,6805.3145,
177,440.7790993586089,0.30842856,,,,,,,,,,,0,0,0,0,0,13088.191,12039.273,0,10841.007,26134.826,17126.953,13536.569,11660.622,
178,524.7497283143921,0.3096933,,,,,,,,,,,0,0,0,0,0,5097.6772,0,0,3790.199,13996.2705,7923.1787,3668.462,0,
179,642.7030138044732,0.31317,,,,,,,,,,,0,0,0,0,0,0,7633.5513,0,0,25964.002,16076.757,8428.365,6946.7285,
180,176.90056204425534,0.30385923,,,,,,,,,,,69697.086,0,0,0,0,73634.93,70347.81,70678.02,65017.754,102570.39,79099.27,85013.57,73469.44,
182,320.8292221683643,0.30478516,,,,,,,,,,,32201.342,0,0,0,0,29361.635,30556.377,31298.744,32654.227,57220.2,40681.29,34936.273,33833.406,
183,250.83317397609306,0.30597332,,,,,,,,,,,0,0,0,0,0,14801.448,0,16427.459,16070.147,0,0,1243.2849,15490.669,
184,376.7912382600514,0.30385923,,,,,,,,,,,49643.543,0,0,0,0,35852.996,43855.016,37899.9,40505.04,64339.59,60112.145,58542.766,43229.99,
185,236.85633814118535,0.3047833,,,,,,,,,,,91738.68,0,0,0,0,65768.2,78019.14,74305.98,73757.28,70320.0,84250.47,102450.84,71272.8,
186,460.76421395892845,0.30478516,,,,,,,,,,,36386.508,0,0,0,0,32195.76,32740.84,29518.188,29287.389,84543.836,49795.473,33018.03,33248.56,
187,266.80380069051773,0.30440834,,,,,,,,,,,41063.91,0,0,0,2869.8132,11056.452,22977.914,12900.188,14487.112,5776.524,13772.524,44376.227,17577.855,
188,408.7359530881779,0.3047833,,,,,,,,,,,25083.926,0,0,0,0,8444.094,13163.764,9698.532,9020.053,4989.3496,13624.733,24275.781,11439.174,
189,410.732835502002,0.30385923,,,,,,,,,,,41821.586,0,0,0,0,15530.191,22231.867,15535.062,14398.451,10044.693,19379.775,40848.66,17532.168,
190,468.6915852756896,0.304975,,,,,,,,,,,33293.47,0,0,0,0,10120.157,18304.293,11623.535,9333.67,0,13842.782,33042.742,11200.055,
191,492.7099226568776,0.304975,,,,,,,,,,,29316.451,0,0,0,0,14982.395,16292.014,12995.123,11942.746,0,21235.404,29352.562,17313.79,
192,494.70627160508167,0.30644,,,,,,,,,,,38037.812,0,0,0,0,0,0,19382.555,14048.603,0,28161.088,39988.902,0,
193,552.6648269029159,0.3053875,,,,,,,,,,,29367.205,0,0,0,0,5871.9253,15975.102,11053.995,8328.417,12982.795,20203.803,27917.121,0,
194,576.683200522808,0.30334166,,,,,,,,,,,17559.986,0,0,0,0,0,0,12468.396,10550.717,0,0,0,14646.639,
